postIdFinal,reason
63619823,length
31723412,length
24656729,length
64535011,tokens
50274216,length
51222337,tokens
23574155,tokens+length
5802730,length
60753444,length
44848700,tokens+length
15383829,length
33857718,length
33857718,length
33306254,length
17879506,length
39196106,length
62250245,tokens+length
39363875,length
46280004,length
16777372,tokens
28383466,length
53359871,length
36209978,length
11417252,length
50247909,length
40769013,tokens
51565923,length
62092120,tokens
36770789,length
15184691,length
14515980,tokens+length
59524097,length
29295194,tokens+length
35517355,tokens
40695764,length
49107382,length
58978710,length
22122406,tokens
48016849,length
44433289,length
31696534,length
31696534,length
5035741,length
42638980,length
36291031,tokens
44982343,length
29021548,length
25720753,length
25720753,length
33191265,tokens
63361004,length
36585687,length
21245071,length
23764037,length
9021934,length
50883341,tokens+length
49637346,length
6607455,length
24175689,length
49230739,length
29433017,length
64941588,length
31747230,tokens
9299922,length
61323892,length
36285465,length
50323524,tokens+length
9622020,tokens+length
31194831,tokens+length
26888761,length
24022665,length
24022665,length
63242008,length
35909914,length
47353520,length
38803778,length
17267078,length
42570881,tokens+length
50554876,tokens
36884546,length
47696617,length
16112818,tokens+length
6114643,length
43012317,length
3507701,length
8946930,length
22312176,length
6667746,length
32719970,length
42548479,length
28617850,length
31294549,length
20653226,length
42896909,length
43064290,tokens+length
2857034,length
2857034,length
7747209,length
60077147,length
47450249,length
16193734,tokens+length
63309608,length
41140769,length
58361058,length
768532,length
11004918,length
31056611,length
53358762,tokens
46512731,length
36895745,length
6195029,length
26711697,length
26475189,length
58100575,length
14819910,length
34464074,length
60273671,tokens
60273671,tokens+length
26301111,length
40537636,length
40537636,length
24342200,length
51135850,length
12762885,tokens+length
12762885,length
32174144,length
25685839,length
34221336,tokens
54226966,length
41089300,length
30794326,tokens+length
23989459,tokens
8106474,tokens+length
61615212,length
61615212,tokens
18618188,tokens+length
37220727,length
20839367,length
180841,length
664589,tokens+length
37958701,tokens
48709594,tokens+length
55025367,length
6535948,tokens
60031920,length
23970405,tokens+length
23970405,length
64007523,length
64007373,tokens
40124494,length
34638193,length
20822206,length
45071089,tokens
63926259,tokens
45619142,length
15053441,length
21516990,tokens+length
37705220,length
47765866,length
33961086,length
48210936,length
53662590,length
42814628,length
33428943,length
38621020,length
52228854,tokens+length
4679638,length
23786857,length
37553942,tokens+length
37553942,length
10819863,length
55053367,length
55053367,length
26021554,length
51673732,length
31031632,length
56614650,length
14289795,length
23782796,length
35995943,length
49757023,length
35870273,tokens
33264028,tokens+length
50279787,length
29925657,length
21287893,tokens+length
22165184,length
64815551,length
31193446,length
19818798,length
59881816,tokens
37192556,length
28030317,length
37301390,length
33825506,length
30744903,length
53029356,length
56749773,length
42048437,tokens+length
25317012,length
40479191,length
25391097,length
38965455,length
26119275,length
21072552,length
31866093,length
14412500,length
15193209,length
21617938,length
38248127,tokens+length
61624233,length
